,ID,User,Created At,Fav Count,GEO,RE Count,Text
871,986717238928396289,WebbyLand,2018-04-18 21:24:56,0,,3502,"RT @RealSaavedra: #BREAKING: 11 members of Congress have asked AG Jeff Sessions, FBI Director Chris Wray, and US attorney John Huber to con…"
872,986717236760055809,homenotalone,2018-04-18 21:24:56,0,,5794,"RT @RepAdamSchiff: By pardoning Scooter Libby, President Trump signaled he could use the pardon to shield himself and those who remain loya…"
873,986717235174572032,PursuingMciver,2018-04-18 21:24:55,0,,2175,RT @DemGovs: The Trump Administration wants to end Robert Mueller's independent investigation into the 2016 election. Congress must defend…
874,986717233715048448,MikeUp,2018-04-18 21:24:55,1,,0,"@GeoffMiami The real shame of this is that the Dem diehards who shit all over Bernie share all these same goals, an… https://t.co/8zKUrIQJa0"
875,986717232989384704,Susansuecop,2018-04-18 21:24:55,0,,927,"RT @DanCovfefe1: Democrats are running for Congress this year on a pledge to raise taxes, on you and your employer.. 

Makes you wonder for…"
876,986717231445889029,unseennewsuk,2018-04-18 21:24:54,0,,31,"RT @intifada: Israeli violence ""goes against every human rights principle,"" says Congressional hopeful in South Carolina https://t.co/CgrlB…"
877,986717230921465856,An36311761,2018-04-18 21:24:54,0,,137,RT @politicususa: 170 Members Of Congress Sign Resolution Demanding Scott Pruitt Resign https://t.co/d5HbceL986 via @politicususa #Pruitt
878,986717228447031297,AnnTBush,2018-04-18 21:24:54,0,,327,RT @DavidCornDC: One of Congress’ Most Unpopular Republicans Might Not Even Have a Democratic Opponent in November https://t.co/zthJE7wn32…
879,986717225884180481,JEANNEinWa,2018-04-18 21:24:53,0,,1001,RT @guypbenson: In what way is it acceptable that members of Congress met with this man and courted his support? https://t.co/5e8lJ7TZ3K
880,986717225339031553,StewartVerdery,2018-04-18 21:24:53,0,,1,"RT @lauradfrancis: Several members of Congress will be leaving at the end of the year, including @SpeakerRyan. Will that shift things enoug…"
881,986717225112489985,ARRESTBHO,2018-04-18 21:24:53,0,,14,RT @RedNationRising: This is kind of stupid. We don't need more children voting - we already have enough children voting in Congress. https…
882,986717224533504000,gabbydeniro72,2018-04-18 21:24:53,0,,514,RT @Stump_for_Trump: Members of Congress must speak out against the criminalization of political differences like @RepMattGaetz is doing.…
883,986717224101695488,CJGALVO,2018-04-18 21:24:53,0,,791,"RT @kwilli1046: James Comey leaks classified info, lies to Congress under oath, allows the #FBI to be weaponized &amp; lets Hillary go free und…"
